School Name,Latitude,Longitude,LGA
Bona Vista Primary School,-38.21052,145.95991,Baw Baw (S)
Bonbeach Primary School,-38.06649,145.12564,Kingston (C)
Boneo Primary School,-38.41198,144.88711,Mornington Peninsula (S)
Boolarra Primary School,-38.38287,146.26887,Latrobe (C)
Boronia Heights Primary School,-37.84457,145.29648,Knox (C)
Boronia West Primary School,-37.85856,145.27848,Knox (C)
Boroondara Park Primary School,-37.78944,145.08789,Boroondara (C)
Botanic Ridge Primary School,-38.15007,145.28805,Casey (C)
Bourchier Street Primary School Shepparton,-36.36654,145.41297,Greater Shepparton (C)
Box Hill North Primary School,-37.80079,145.12331,Whitehorse (C)
Brandon Park Primary School,-37.91432,145.17325,Monash (C)
Branxholme-Wallacedale Community School,-37.85635,141.79872,Southern Grampians (S)
Brentwood Park Primary School,-38.05298,145.34777,Casey (C)
Briagolong Primary School,-37.8428,147.06784,Wellington (S)
Briar Hill Primary School,-37.70831,145.11622,Banyule (C)
Bridgewater Primary School,-36.6031,143.94592,Loddon (S)
Bridgewood Primary School,-38.07195,145.41966,Cardinia (S)
Brighton Beach Primary School,-37.9221,144.99611,Bayside (C)
Brighton Primary School,-37.91221,145.00108,Bayside (C)
Broadford Primary School,-37.20257,145.0463,Mitchell (S)
Broadmeadows Primary School,-37.68019,144.92849,Hume (C)
Broadmeadows Valley Primary School,-37.6814,144.9141,Hume (C)
Broken Creek Primary School,-36.42328,145.88923,Benalla (RC)
Brunswick East Primary School,-37.76527,144.98,Merri-bek (C)
Brunswick North Primary School,-37.75984,144.95043,Merri-bek (C)
Brunswick North West Primary School,-37.75671,144.94359,Merri-bek (C)
Brunswick South Primary School,-37.7787,144.97254,Merri-bek (C)
Brunswick South West Primary School,-37.77058,144.94352,Merri-bek (C)
Bruthen Primary School,-37.70421,147.83349,East Gippsland (S)
Buangor Primary School,-37.36404,143.17502,Ararat (RC)
Buchan Primary School,-37.49774,148.18082,East Gippsland (S)
Bullarto Primary School,-37.40538,144.21822,Hepburn (S)
Buln Buln Primary School,-38.09935,145.93817,Baw Baw (S)
